PubId	Date	Text	HasFastAnswer	SuperFastAnswerClick	id_answer	ID	score	etalon	Оценка	Комментарий
8	2023-02-04	18210214010060001160 кбк	0	0	9999	508398	0.99916046416677	кбк 18210606033101000110	0	
220	2023-02-04	форма по кнд 1150057	0	0	9999	461275	0.999029035969107	форма кнд 1150058	0	
6	2023-02-04	кбк 18210201000013000160	0	0	9999	508398	0.998737177407603	кбк 18210301000012100110	0	
8	2023-02-05	как заполнить форму 1151162	0	0	9999	461275	0.995573735840616	как заполнить форму 1150058	0	
6	2023-02-04	зарплата за декабрь 2022 выплаченная в январе 2023 в 6-ндфл	1	1	416138	416138	0.994230369922845	6-ндфл зарплата за декабрь 2022 выплачена в январе 2022	0	
220	2023-02-05	форма по кнд 1151162	0	0	9999	461275	0.993736941772232	форма кнд 1150058	0	
9	2023-02-04	пониженные ставки налога на усн в 2023 году по регионам	1	0	493150	503982	0.992180844502117	пониженные ставки налога на усн в 2022 году по регионам	0	
8	2023-02-03	6-ндфл за 2021 год форма 23101012	1	1	486295	486295	0.991963719084236	6-ндфл 2021 год форма	0	
220	2023-02-04	форма по кнд 1110355	0	0	9999	461275	0.991384465637302	форма кнд 1150058	0	
9	2023-02-04	налоговые ставки усн по регионам на 2023 год	1	0	503982	503982	0.990999201770748	налоговые ставки усн по регионам на 2022 год	0	
8	2023-02-04	размер страхового тарифа в соответствии с классом профессионального 68.1 риска	1	1	517686	517686	0.990586354940829	размер страхового тарифа в соответствии с классом профессионального риска	1	
9	2023-02-03	срок сдачи 6-ндфл за 1 квартал 2023	1	1	407421	407421	0.990570633532534	6-ндфл за 1 квартал 2022 срок сдачи	0	
6	2023-02-05	форма 0504402	0	0	9999	438333	0.990207401976902	форма 0504425	0	
8	2023-02-03	таблица ставок усн по регионам в 2023 году	1	0	493150	432787	0.989972837451629	ставки по усн в 2022 году по регионам таблица	0	
9	2023-02-03	кнд 11501121	0	0	9999	461275	0.989895130486687	кнд 1150058	0	
