	text	DATES	FSBU	NK	FZ	KBK	FORMS	KND	NDFL	NPA	MONEY	UNCNOWN_NUM	KEYS	clear_text	lem_text
0	доброе утро, какие дни в феврале 2023г.считаются праздничными	['феврале 2023']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	доброе утро, какие дни в genдатаг.считаются праздничными	добрый утро какой день в депдатага считаться праздничный
1	какие дни в январе считаются праздничными	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какие дни в январе считаются праздничными	какой день в январь считаться праздничный
2	здравствуйте, должна ли ооо на усн платить налог на имущество?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['усн', 'имущество']	здравствуйте, должна ли ооо на усн платить налог на имущество?	здравствовать должный ли ооо на усн платить налог на имущество
3	ип на усн должен ли платить налог на имущество	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип', 'усн', 'имущество']	ип на усн должен ли платить налог на имущество	ип на усн должный ли платить налог на имущество
4	какое кбк указывать в уведомлении по земельному налогу	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какое кбк указывать в уведомлении по земельному налогу	какой кбк указывать в уведомление по земельный налог
5	какой кбк указывать в уведомлении по транспортному налогу	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой кбк указывать в уведомлении по транспортному налогу	какой кбк указывать в уведомление по транспортный налог
6	добрый день. по транспортному налогу за 2022 переплата. нужно ли подавать уведомление енп?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2022']	['енп']	добрый день. по транспортному налогу за genцифра переплата. нужно ли подавать уведомление енп?	добрый день по транспортный налог за депцифра переплата нужно ли подавать уведомление енс
7	нужно подавать уведомление по транспортному налогу в 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	нужно подавать уведомление по транспортному налогу в genцифра	нужно подавать уведомление по транспортный налог в депцифра
8	письмо минфина россии от 14.07.2014 № 03-03-06/1/34229	['14.07.2014']	[]	[]	[]	[]	[]	[]	[]	['03-03-06/1/34229']	[]	[]	[]	письмо минфина россии от genдата № genнпа	письмо минфин россия от депдат депнпа
9	письмо минфина рф от 08.06.2021г. № 03-03-06/1/44932	['08.06.2021']	[]	[]	[]	[]	[]	[]	[]	['03-03-06/1/44932']	[]	[]	[]	письмо минфина рф от genдатаг. № genнпа	письмо минфин рф от депдатага депнпа
