ChatId	Query	FastAnswID	Etalon	FTScore	JacScore	TrueAnsw	
7252293	доброе утро, какие дни в феврале 2023г.считаются праздничными	498271	какие дни в январе считаются праздничными	0,98	0,57	0	
7253360	Здравствуйте, должна ли ООО на УСН платить налог на имущество?	473277	ип на усн должен ли платить налог на имущество	0,98	0,75	0	
7264707	какое кбк указывать в уведомлении по земельному налогу	521533	какой кбк указывать в уведомлении по транспортному налогу	0,97	0,71	0	
7260136	Добрый день. По транспортному налогу за 2022 переплата. Нужно ли подавать уведомление ЕНП?	515357	нужно подавать уведомление по транспортному налогу в 2023	0,97	0,5	0	
7258027	ПИСЬМО МИНФИНА РОССИИ от 14.07.2014 № 03-03-06/1/34229	442609	письмо минфина рф от 08.06.2021г. № 03-03-06/1/44932	0,97	0,36	0	
7252059	Добрый день. Подали уведомление в налоговую НДФЛ и страховые взносы. По страховым взносам ошибочно указали КБК ЕНП. При корректировке уведомления нужно также отражать НДФЛ и страховые взносы, или только страховые взносы с верными реквизитами?	520743	какие кбк указывать в уведомлении по страховым взносам и ндфл	0,97	0,37	0	
7262494	Добрый день. как уменьшить усн на фиксированные страховые взносы ИП в 2023?	495741	фиксированные взносы ип 2023	0,97	0,57	0	
7261251	Добрый день. Как в 1с начислять ежемесячные авансовые платежи по налогу на прибыль в 2023 году?	507662	ежемесячные авансовые платежи по налогу на прибыль в 2022 году	0,97	0,6	0	
7259305	Здравствуйте! Подскажите, пожалуйста, срок уплаты НДС за 4 кв 2022г ?	503786	срок уплаты ндс за 1 кв 2023	0,97	0,5	0	
7264106	какие есть штрафы за несвоевременную сдачу ефс?	509610	какой штраф будет за несвоевременную сдачу рсв ?	0,96	0,71	0	
7263806	уведомление енп в каких случаях можно не подавать .,	515327	в каких случаях можно не подавать уведомления по ндфл	0,96	0,75	0	
7263539	какие налоги платит ИП при заключении договоров ГПХ	492332	договор гпх какие налоги платить	0,96	0,71	0	
7261693	какой штраф за несвоевременную сдачу сзв стаж?	450912	какой штраф за несвоевременную сдачу сзв-м	0,96	0,71	0	
7264649	Персонифицированные сведения о физических лицах сдают банкроты	521139	персонифицированные сведения о физических лицах персонифицированные сведения о физических лицах нулевой	0,96	0,57	0	
7252226	ОТчет по СЗВМ	490139	отчет сзв-тд отчет	0,96	0,25	0	
